"Date & Time","use [kWh]","gen [kWh]","HVAC [kWh]","Garage [kWh]","Main House + Pumps [kWh]","Water Heater [kWh]","Heat Pump [kWh]","Heaters - upstairs [kWh]","Heater - downstairs [kWh]","Range [kWh]","HRV [kWh]","Dishwasher [kWh]","Main House [kWh]","Washer and Dryer [kWh]","KitL MasLP BathLP LoftLP GueLP [kWh]","KitP LivLP StairsUpLP [kWh]","Well Pump [kWh]","Booster Pump [kWh]","Garage Water Heater [kWh]","Solar Net [kWh]","Main Grid [kWh]","Solar Pos [kWh]","Septic Pump [kWh]"
2017-02-06 12:00:00,22467.388240556,11650.472610278,-4879.290937222,-4617.584195000,-17849.804045556,-2754.462104167,-4091.644375833,-108.255621389,-130.949953889,-882.972389444,-548.440986111,-320.016378056,-15610.309956667,-1140.377361111,-683.519110833,-114.414807778,-1425.021178056,-814.472910833,-1263.915746667,11311.151091944,-11156.237148611,11650.472610278,-26.015361111
2017-02-05 12:00:00,22427.080795278,11649.570013889,-4867.147036667,-4608.600240000,-17818.480555278,-2746.844831389,-4082.246493611,-107.872461111,-129.390794444,-880.504966944,-547.637287500,-319.327705556,-15580.352303611,-1140.319435278,-680.422646944,-111.991906111,-1424.070261389,-814.057990278,-1262.750376111,11310.473951944,-11116.606843333,11649.570013889,-26.016371389
2017-02-04 12:00:00,22387.919513056,11647.372015278,-4851.398675556,-4599.670782500,-17788.248730556,-2744.154284444,-4069.193980833,-107.624998333,-128.137973889,-879.337323056,-546.441722500,-318.529163056,-15550.247036944,-1140.245551667,-676.620493611,-108.259342222,-1424.070386111,-813.931307500,-1261.587319722,11308.514860278,-11079.404652778,11647.372015278,-25.888882500
2017-02-03 12:00:00,22345.396518056,11644.488206111,-4832.052488611,-4592.013325278,-17753.383192778,-2741.457224444,-4055.383278333,-106.222851111,-125.197688056,-879.015224722,-545.248671111,-318.511115278,-15519.225634444,-1140.171321389,-672.425694167,-105.870349167,-1421.361571667,-812.795986667,-1259.293658611,11305.884465833,-11039.512052222,11644.488206111,-25.832595833
2017-02-02 12:00:00,22291.682601667,11636.187909167,-4813.846406111,-4578.062954444,-17713.619647222,-2735.739765000,-4043.055433056,-104.707305000,-122.028971389,-876.186800833,-544.054696667,-317.069692778,-15480.175847222,-1137.625695833,-668.780062778,-103.255582500,-1420.853917500,-812.589882500,-1258.320984722,11297.800325000,-10993.882276667,11636.187909167,-25.832448056
2017-02-01 12:00:00,22239.857206944,11623.578015278,-4796.347518056,-4559.192166944,-17680.665040000,-2732.277849444,-4031.040489444,-103.544970278,-118.897091111,-875.268006111,-542.864967222,-316.998611111,-15447.832262500,-1135.661799722,-665.167499167,-100.318755278,-1420.401157778,-812.431619722,-1256.226592222,11285.396345000,-10954.460861944,11623.578015278,-25.833820000
2017-01-31 12:00:00,22195.603560278,11611.872541111,-4782.398380278,-4543.380989167,-17652.222571111,-2728.266447500,-4019.581312778,-103.346652222,-117.808472222,-874.602923056,-541.661943056,-316.101640833,-15420.105849444,-1135.352502222,-661.947679444,-97.467062778,-1419.928353333,-812.188368333,-1254.550516389,11273.913182778,-10921.690377500,11611.872541111,-25.829368611
2017-01-30 12:00:00,22140.554017778,11603.814607222,-4764.508591111,-4528.266880278,-17612.287137500,-2719.336157500,-4003.252991944,-103.239189167,-117.557256944,-872.370114722,-540.459153056,-315.411718889,-15381.395077778,-1135.276770556,-658.415041667,-94.186289444,-1419.200123056,-811.691936667,-1253.594540556,11266.095421944,-10874.458595833,11603.814607222,-25.778787778
2017-01-29 12:00:00,22083.262040833,11598.894789167,-4751.632921389,-4510.479578056,-17572.782462778,-2712.791068611,-3991.871013333,-103.131051111,-117.371403056,-869.316382778,-539.259453889,-314.657576111,-15343.152188611,-1129.410430556,-654.580988056,-90.906235000,-1418.243314167,-811.386960000,-1251.316592222,11261.404383889,-10821.857656944,11598.894789167,-25.653976944
2017-01-28 12:00:00,22037.745490278,11589.976789167,-4737.054194444,-4499.320859167,-17538.424631111,-2709.110209167,-3979.119581667,-103.022242500,-116.859742222,-866.728309722,-538.052628056,-313.903213889,-15309.477354444,-1127.100905278,-650.205373056,-87.478547500,-1417.760918056,-811.186358611,-1250.167917500,11252.721502500,-10785.023987778,11589.976789167,-25.655490278
2017-01-27 12:00:00,21999.883729722,11581.208357500,-4722.802514167,-4490.224490556,-17509.659239167,-2704.311693333,-3966.705973611,-102.916468056,-116.336742500,-866.148796389,-536.843330000,-313.181673056,-15280.910685000,-1127.031248333,-646.819738056,-84.634867778,-1417.761913889,-810.986640278,-1248.065639722,11244.186309167,-10755.697420556,11581.208357500,-25.654845833
2017-01-26 12:00:00,21951.147188333,11571.272416389,-4706.555064722,-4477.521228611,-17473.625959722,-2698.049886111,-3952.224411389,-102.809288889,-115.893328611,-865.247023056,-535.628035833,-312.409961944,-15246.221396944,-1124.842242500,-643.373378889,-81.630739167,-1416.695406111,-810.709156667,-1246.383778056,11234.481541111,-10716.665647222,11571.272416389,-25.651985556
2017-01-25 12:00:00,21908.027408611,11567.425367778,-4690.494655000,-4464.134843056,-17443.892565556,-2694.457652500,-3939.125146944,-102.402468889,-114.545761389,-864.700867500,-534.421277778,-311.690431944,-15216.663083056,-1124.769905278,-639.683578056,-78.474314722,-1416.695723333,-810.533759167,-1245.356393611,11230.877775000,-10677.149633611,11567.425367778,-25.648021389
