Date & Time,use [kW],gen [kW],HVAC [kW],Garage [kW],Main House + Pumps [kW],Water Heater [kW],Heat Pump [kW],Heaters - upstairs [kW],Heater - downstairs [kW],Range [kW],HRV [kW],Dishwasher [kW],Main House [kW],Washer and Dryer [kW],KitL MasLP BathLP LoftLP GueLP [kW],KitP LivLP StairsUpLP [kW],Well Pump [kW],Booster Pump [kW],Garage Water Heater [kW],Solar Net [kW],Main Grid [kW],Solar Pos [kW],Septic Pump [kW]
3/10/2017 18:43,1.74380912,0.40055603,-0.581066829,-0.454512106,-1.289297014,-0.139357998,-0.487656817,-0.012733183,-0.03078603,-0.036683993,-0.049890799,-0.031048681,-1.199964873,-0.002865509,-0.176779294,-0.154400509,-0.060291308,-0.029040833,-0.045662998,0.391931944,-1.351877176,0.40055603,-0.007303102
3/9/2017 18:43,1.862084259,0.91220228,-0.464415046,-0.246120081,-1.615964178,-0.437471794,-0.366537083,-0.011052488,-0.036375417,-0.076203565,-0.050450058,-0.03322875,-1.491928877,-0.002849815,-0.137058634,-0.255345347,-0.079081134,-0.044954167,-0.042944711,0.903609549,-0.958474711,0.91220228,-0.000536505
3/8/2017 18:43,2.513020787,0.223871944,-0.673874167,-0.885407176,-1.627613611,-0.186745428,-0.506277419,-0.037018924,-0.080889838,-0.046611377,-0.049687986,-0.000664456,-1.529706088,-0.085769352,-0.145606539,-0.297887176,-0.064754722,-0.033152801,-0.078490023,0.214925938,-2.29809485,0.223871944,-0.000453021
3/7/2017 18:43,2.030566227,0.355375683,-0.652755856,-0.601647037,-1.42891919,-0.180181343,-0.505890509,-0.055721308,-0.041410405,-0.032031863,-0.049733634,-0.029433519,-1.334176065,-0.098695104,-0.122265498,-0.140950185,-0.06188066,-0.032862465,-0.067101644,0.346640266,-1.683925961,0.355375683,-0.000154838
3/6/2017 18:43,2.720779294,0.23053588,-0.849630081,-0.923401725,-1.797377569,-0.103240093,-0.734125775,-0.050005972,-0.016040718,-0.013140938,-0.049457616,-0.036141956,-1.510940451,-0.002897292,-0.158055023,-0.269861065,-0.193416169,-0.093020949,-0.077023461,0.222765706,-2.498013588,0.23053588,-0.004853935
3/5/2017 18:43,2.10270272,0.816166007,-0.666429502,-0.559402512,-1.543300208,-0.2383236,-0.507923322,-0.073585486,-0.035361412,-0.084010938,-0.049559282,-0.032844028,-1.45703331,-0.121456007,-0.130097072,-0.110385394,-0.054271933,-0.031994965,-0.089164317,0.807544456,-1.295158264,0.816166007,-0.002614977
3/4/2017 18:43,2.795419433,0.320001586,-0.643955579,-0.827820093,-1.96759934,-0.383117049,-0.537456204,-0.019599155,-0.037437731,-0.096040266,-0.049462488,-0.015816644,-1.832652662,-0.274900903,-0.161734942,-0.171702731,-0.085215313,-0.049731366,-0.045004641,0.311784132,-2.483635301,0.320001586,0.000150648
3/3/2017 18:43,2.443987512,0.656118275,-0.657952199,-0.861072882,-1.58291463,-0.258641736,-0.544805683,-0.016950822,-0.046299965,-0.07921691,-0.049895729,-0.020509734,-1.462738368,-0.010434549,-0.190887326,-0.152021829,-0.083737685,-0.036438576,-0.09396147,0.647431458,-1.796556053,0.656118275,0.000155324
3/2/2017 18:43,1.945765972,0.230932292,-0.516502859,-0.460679676,-1.485086296,-0.198682674,-0.413818171,-0.02737956,-0.025048333,-0.131239572,-0.050256794,-0.061748113,-1.387568542,-0.108393461,-0.143507141,-0.141002002,-0.064883472,-0.032634282,-0.039748715,0.222527998,-1.723237975,0.230932292,-0.007448461
3/1/2017 18:43,1.641616493,0.545067731,-0.454988484,-0.557519873,-1.08409662,-0.131782998,-0.364817083,-0.021547373,-0.018297338,-0.019390104,-0.05032669,-0.000654225,-1.000703843,-0.05786794,-0.137174387,-0.119607153,-0.051434329,-0.031958449,-0.076690729,0.536494352,-1.105122141,0.545067731,-0.000074491
